Method: bc_reg
Env:    easy
Eval:   959.2 +/- 120.8  (50 episodes)
Chunks: predict 20, execute 10

=== Episode 1: 586 steps, CRASHED ===
  pipe  1 (t= 276): bird=0.689  gaps=(0.690, 0.690)  act=0.651
  pipe  2 (t= 343): bird=0.481  gaps=(0.478, 0.478)  act=0.479
  pipe  3 (t= 409): bird=0.690  gaps=(0.696, 0.696)  act=0.645
  pipe  4 (t= 476): bird=0.742  gaps=(0.743, 0.743)  act=0.698
  pipe  5 (t= 543): bird=0.172  gaps=(0.136, 0.136)  act=0.174
  CRASH  (t= 586): bird=0.719  gaps=(0.812, 0.812)

=== Episode 2: 1000 steps, TIMEOUT ===
  pipe  1 (t= 276): bird=0.814  gaps=(0.826, 0.826)  act=0.774
  pipe  2 (t= 343): bird=0.699  gaps=(0.701, 0.701)  act=0.683
  pipe  3 (t= 409): bird=0.606  gaps=(0.603, 0.603)  act=0.580
  pipe  4 (t= 476): bird=0.675  gaps=(0.676, 0.676)  act=0.641
  pipe  5 (t= 543): bird=0.834  gaps=(0.862, 0.862)  act=0.827
  pipe  6 (t= 609): bird=0.595  gaps=(0.589, 0.589)  act=0.568
  pipe  7 (t= 676): bird=0.273  gaps=(0.263, 0.263)  act=0.313
  pipe  8 (t= 743): bird=0.552  gaps=(0.556, 0.556)  act=0.550
  pipe  9 (t= 809): bird=0.828  gaps=(0.855, 0.855)  act=0.773
  pipe 10 (t= 876): bird=0.281  gaps=(0.266, 0.266)  act=0.315
  pipe 11 (t= 943): bird=0.388  gaps=(0.388, 0.388)  act=0.401

=== Episode 3: 1000 steps, TIMEOUT ===
  pipe  1 (t= 276): bird=0.257  gaps=(0.252, 0.252)  act=0.304
  pipe  2 (t= 343): bird=0.509  gaps=(0.513, 0.513)  act=0.511
  pipe  3 (t= 409): bird=0.254  gaps=(0.241, 0.241)  act=0.314
  pipe  4 (t= 476): bird=0.658  gaps=(0.663, 0.663)  act=0.633
  pipe  5 (t= 543): bird=0.712  gaps=(0.717, 0.717)  act=0.698
  pipe  6 (t= 609): bird=0.253  gaps=(0.232, 0.232)  act=0.307
  pipe  7 (t= 676): bird=0.575  gaps=(0.578, 0.578)  act=0.566
  pipe  8 (t= 743): bird=0.659  gaps=(0.661, 0.661)  act=0.648
  pipe  9 (t= 809): bird=0.201  gaps=(0.176, 0.176)  act=0.257
  pipe 10 (t= 876): bird=0.191  gaps=(0.181, 0.181)  act=0.237
  pipe 11 (t= 943): bird=0.708  gaps=(0.721, 0.721)  act=0.701

=== Episode 4: 1000 steps, TIMEOUT ===
  pipe  1 (t= 276): bird=0.286  gaps=(0.283, 0.283)  act=0.327
  pipe  2 (t= 343): bird=0.505  gaps=(0.509, 0.509)  act=0.507
  pipe  3 (t= 409): bird=0.682  gaps=(0.688, 0.688)  act=0.639
  pipe  4 (t= 476): bird=0.257  gaps=(0.243, 0.243)  act=0.297
  pipe  5 (t= 543): bird=0.289  gaps=(0.286, 0.286)  act=0.306
  pipe  6 (t= 609): bird=0.593  gaps=(0.598, 0.598)  act=0.582
  pipe  7 (t= 676): bird=0.379  gaps=(0.375, 0.375)  act=0.405
  pipe  8 (t= 743): bird=0.162  gaps=(0.134, 0.134)  act=0.171
  pipe  9 (t= 809): bird=0.196  gaps=(0.185, 0.185)  act=0.265
  pipe 10 (t= 876): bird=0.821  gaps=(0.848, 0.848)  act=0.793
  pipe 11 (t= 943): bird=0.415  gaps=(0.406, 0.406)  act=0.418

=== Episode 5: 1000 steps, TIMEOUT ===
  pipe  1 (t= 276): bird=0.227  gaps=(0.221, 0.221)  act=0.275
  pipe  2 (t= 343): bird=0.644  gaps=(0.652, 0.652)  act=0.640
  pipe  3 (t= 409): bird=0.827  gaps=(0.850, 0.850)  act=0.769
  pipe  4 (t= 476): bird=0.386  gaps=(0.377, 0.377)  act=0.408
  pipe  5 (t= 543): bird=0.309  gaps=(0.304, 0.304)  act=0.324
  pipe  6 (t= 609): bird=0.798  gaps=(0.819, 0.819)  act=0.747
  pipe  7 (t= 676): bird=0.821  gaps=(0.837, 0.837)  act=0.784
  pipe  8 (t= 743): bird=0.297  gaps=(0.279, 0.279)  act=0.304
  pipe  9 (t= 809): bird=0.228  gaps=(0.219, 0.219)  act=0.295
  pipe 10 (t= 876): bird=0.429  gaps=(0.433, 0.433)  act=0.447
  pipe 11 (t= 943): bird=0.640  gaps=(0.643, 0.643)  act=0.633
