Method: dagger
Env:    hard
Eval:   1000.0 +/- 0.0  (100 episodes)
Chunks: predict 20, execute 10

DAgger per-round performance:
  Round 1: 345.5 +/- 59.4
  Round 2: 383.3 +/- 18.8
  Round 3: 281.4 +/- 100.9
  Round 4: 1000.0 +/- 0.0
  Round 5: 670.9 +/- 262.8

=== Episode 1: 1000 steps, TIMEOUT ===
  pipe  1 (t= 276): bird=0.451  gaps=(0.438, 0.772)  act=0.458
  pipe  2 (t= 343): bird=0.488  gaps=(0.487, 0.487)  act=0.489
  pipe  3 (t= 409): bird=0.331  gaps=(0.319, 0.654)  act=0.347
  pipe  4 (t= 476): bird=0.607  gaps=(0.607, 0.607)  act=0.612
  pipe  5 (t= 543): bird=0.450  gaps=(0.440, 0.775)  act=0.457
  pipe  6 (t= 609): bird=0.633  gaps=(0.634, 0.634)  act=0.637
  pipe  7 (t= 676): bird=0.480  gaps=(0.467, 0.801)  act=0.486
  pipe  8 (t= 743): bird=0.302  gaps=(0.299, 0.299)  act=0.300
  pipe  9 (t= 809): bird=0.145  gaps=(0.132, 0.467)  act=0.184
  pipe 10 (t= 876): bird=0.667  gaps=(0.672, 0.672)  act=0.675
  pipe 11 (t= 943): bird=0.513  gaps=(0.504, 0.839)  act=0.513

=== Episode 2: 1000 steps, TIMEOUT ===
  pipe  1 (t= 276): bird=0.522  gaps=(0.511, 0.846)  act=0.523
  pipe  2 (t= 343): bird=0.612  gaps=(0.609, 0.609)  act=0.612
  pipe  3 (t= 409): bird=0.456  gaps=(0.442, 0.777)  act=0.457
  pipe  4 (t= 476): bird=0.556  gaps=(0.556, 0.556)  act=0.558
  pipe  5 (t= 543): bird=0.399  gaps=(0.388, 0.723)  act=0.414
  pipe  6 (t= 609): bird=0.595  gaps=(0.596, 0.596)  act=0.598
  pipe  7 (t= 676): bird=0.442  gaps=(0.429, 0.763)  act=0.449
  pipe  8 (t= 743): bird=0.696  gaps=(0.699, 0.699)  act=0.698
  pipe  9 (t= 809): bird=0.545  gaps=(0.531, 0.866)  act=0.536
  pipe 10 (t= 876): bird=0.549  gaps=(0.549, 0.549)  act=0.551
  pipe 11 (t= 943): bird=0.392  gaps=(0.382, 0.717)  act=0.409

=== Episode 3: 1000 steps, TIMEOUT ===
  pipe  1 (t= 276): bird=0.204  gaps=(0.196, 0.531)  act=0.246
  pipe  2 (t= 343): bird=0.506  gaps=(0.507, 0.507)  act=0.509
  pipe  3 (t= 409): bird=0.352  gaps=(0.339, 0.674)  act=0.369
  pipe  4 (t= 476): bird=0.358  gaps=(0.357, 0.357)  act=0.359
  pipe  5 (t= 543): bird=0.195  gaps=(0.190, 0.525)  act=0.241
  pipe  6 (t= 609): bird=0.584  gaps=(0.589, 0.589)  act=0.591
  pipe  7 (t= 676): bird=0.432  gaps=(0.422, 0.757)  act=0.440
  pipe  8 (t= 743): bird=0.620  gaps=(0.618, 0.618)  act=0.621
  pipe  9 (t= 809): bird=0.464  gaps=(0.451, 0.786)  act=0.464
  pipe 10 (t= 876): bird=0.351  gaps=(0.350, 0.350)  act=0.353
  pipe 11 (t= 943): bird=0.189  gaps=(0.183, 0.518)  act=0.236

=== Episode 4: 1000 steps, TIMEOUT ===
  pipe  1 (t= 276): bird=0.222  gaps=(0.212, 0.547)  act=0.259
  pipe  2 (t= 343): bird=0.504  gaps=(0.504, 0.504)  act=0.506
  pipe  3 (t= 409): bird=0.349  gaps=(0.337, 0.672)  act=0.366
  pipe  4 (t= 476): bird=0.602  gaps=(0.603, 0.603)  act=0.607
  pipe  5 (t= 543): bird=0.446  gaps=(0.435, 0.770)  act=0.453
  pipe  6 (t= 609): bird=0.359  gaps=(0.357, 0.357)  act=0.360
  pipe  7 (t= 676): bird=0.212  gaps=(0.190, 0.525)  act=0.243
  pipe  8 (t= 743): bird=0.381  gaps=(0.382, 0.382)  act=0.379
  pipe  9 (t= 809): bird=0.227  gaps=(0.214, 0.549)  act=0.254
  pipe 10 (t= 876): bird=0.551  gaps=(0.554, 0.554)  act=0.556
  pipe 11 (t= 943): bird=0.396  gaps=(0.386, 0.721)  act=0.412

=== Episode 5: 1000 steps, TIMEOUT ===
  pipe  1 (t= 276): bird=0.189  gaps=(0.179, 0.513)  act=0.236
  pipe  2 (t= 343): bird=0.578  gaps=(0.583, 0.583)  act=0.584
  pipe  3 (t= 409): bird=0.426  gaps=(0.415, 0.750)  act=0.430
  pipe  4 (t= 476): bird=0.691  gaps=(0.692, 0.692)  act=0.693
  pipe  5 (t= 543): bird=0.533  gaps=(0.525, 0.859)  act=0.530
  pipe  6 (t= 609): bird=0.436  gaps=(0.433, 0.433)  act=0.435
  pipe  7 (t= 676): bird=0.284  gaps=(0.266, 0.600)  act=0.313
  pipe  8 (t= 743): bird=0.393  gaps=(0.391, 0.391)  act=0.390
  pipe  9 (t= 809): bird=0.239  gaps=(0.223, 0.558)  act=0.267
  pipe 10 (t= 876): bird=0.673  gaps=(0.676, 0.676)  act=0.679
  pipe 11 (t= 943): bird=0.517  gaps=(0.509, 0.844)  act=0.517
